"organization_name","department_name","faculties"
"Universität Hamburg","AGO & University Medical Center Hamburg-Eppendorf","med"
"Universität Bremen","MARUM ‐ Center for Marine Environmental Research Universität Bremen Bremen Germany","mint"
"Universität Lübeck","Institut für Infektionsmedizin Christian‐Albrechts‐Universität zu Kiel und Universitätsklinikum Schleswig Holstein Kiel Germany","med"
"Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung","Department for Marine Geology","mint"
"Capital Medical University","Department of Psychosomatic Medicine","med"
"Vrije Universiteit Brussel","Marine Biology","mint"
"Peking Union Medical College Hospital",NA,"med"
"Max Planck Institute for Plasma Physics - Greifswald","Max Planck Institute for Plasma Physics","mint"
"Universitätsklinikum Schleswig-Holstein","Department of Congenital Heart Disease and Pediatric Cardiology","med"
"University Medical Center Hamburg-Eppendorf (UKE)","Institute of Human Genetics","med"
"Peking Union Medical College Hospital","Chinese Academy of Medical Sciences and Peking Union Medical College","med"
"GEOMAR","Research Division 4:  Dynamics of the Ocean Floor","mint"
"Universität Lübeck","Klinik für Chirurgie","med"
"Rostock University Medical Center","Clinic III (Hematology, Oncology, Palliative Care)","med"
"Universität Lübeck","Department of Neurology Lübeck Germany","med"
"Universitätsklinikum Greifswald","Community Medicine","med"
"Universität Hamburg","AGO and University Medical Center Hamburg-Eppendorf","med"
"Weifang Medical University","Teaching and Research Section of Health Statistics","med"
"Leibniz Institute for Prevention Research and Epidemiology - BIPS","Research Group for Evidence-Based Public Health","med"
"Universität Lübeck","Department of Cardiovascular Surgery","med"
"Universitätsklinikum Hamburg-Eppendorf","Institute of Human Genetics","med"
"Universitätsklinikum Hamburg-Eppendorf","Center for Interdisciplinary Adiction Research (ZIS) University of  Hamburg","med"
"Chinese Academy of Medical Sciences & Peking Union Medical College","Department of Psychological Medicine","med"
"Universitätsklinikum Hamburg-Eppendorf","School of Public Health","med"
"Universität Lübeck","University Clinic Schleswig‐Holstein – Campus Kiel","med"
"Universität Lübeck","University Hospital Schleswig‐Holstein Campus Kiel","med"
"Institut de Recherche pour le Développement","GEOMAR—Helmholtz Center for Ocean Research","mint"
"Universität Lübeck","Comprehensive Centre for Inflammation Medicine","med"
"Universitätsmedizin Greifswald","Center of Medical and Bio-Allied Health Sciences Research","med"
"Centre National de la Recherche Scientifique","GEOMAR Helmholtz-Centre for Ocean Research Kiel","mint"
"Universität Lübeck","Klinik für Kinder- und Jugendmedizin","med"
"Klinikum Südstadt Rostock","Clinic of Internal Medicine IV","med"
"Universität Lübeck","Division of Clinical and Molecular Allergology","med"
"Universität Lübeck","Medical Systems Biology Division","med"
"Universitätsklinikum Hamburg-Eppendorf Zentrum für Molekulare Neurobiologie Hamburg","Research Group Development und Maintenance of the Nervous System (Dr. Edgar Kramer)","med"
"Hamburg Institute of International Economics","Research Programme on International Climate Policy","sowi"
"Universitätsklinikum Schleswig-Holstein","Department of Gynecology & Obstetrics","med"
"Universität Lübeck","Department of Neuroscience and Brain Health","med"
"Universitätsklinikum Schleswig-Holstein","Department of Radiation Oncology","med"
"Universität Lübeck","Department of Radiology and Neuroradiology","med"
"Université de Montpellier","GEOMAR—Helmholtz Center for Ocean Research","mint"
"Universität Bremen","Alfred Wegener Institute – Helmholz Centre for Polar and Marine Research (AWI)","mint"
"Ifremer","GEOMAR—Helmholtz Center for Ocean Research","mint"
"Universitätsklinikum Schleswig-Holstein","Institut für Infektionsmedizin Christian‐Albrechts‐Universität zu Kiel und Universitätsklinikum Schleswig Holstein","med"
"Universität Lübeck","Klinik für Chirurgie und Deutsches NET-Register","med"
"Instituto Español de Oceanografía","Helmholtz Centre for Ocean Research Kiel (GEOMAR)","mint"
"Progress-Institut für Wirtschaftsforschung","GEOMAR Helmholtz Center for Ocean Research Kiel","mint"
"Universität Hamburg","HanseMerkur Center for Traditional Chinese Medicine at the University Medical Center","med"
"Helmholtz Institute for Functional Marine Biodiversity","Alfred-Wegener Institute","mint"
"Peking Union Medical College Hospital","Department of Psychological Medicine","med"
"Hamburg Institute of International Economics","Research Programme International Climate Policy","sowi"
"Max Planck Institute for Plasma Physics - Greifswald","Max-Planck-Institut für Plasmaphysik Teilinstitut Greifswald","mint"
"Universitätsklinikum Schleswig-Holstein","Department of Surgery","med"
"Centre National de la Recherche Scientifique","GEOMAR—Helmholtz Center for Ocean Research","mint"
"Universitätsklinikum Schleswig-Holstein","Department of Radiology and Neuroradiology","med"
"Bernhard Nocht Institute for Tropical Medicine","Department of Tropical Medicine at the Bernhard Nocht Institute","med"
"GEOMAR","Leibniz Institute of Marine Sciences at the University of Kiel (IFM-GEOMAR)","mint"
"Universitätsklinikum Hamburg-Eppendorf","Institute of Experimental and Clinical Pharmacology and Toxicology","med"
"Universitätsmedizin Greifswald","Institute für Community Medicine","med"
"Universitätsklinikum Schleswig-Holstein","Department of Cardiovascular Surgery","med"
"Universitätsklinikum Schleswig-Holstein","Institute of Epidemiology","med"
"Universität Rostock","Clinic for Internal Medicine III","med"
"GEOMAR","Helmholtz Metadata Collaboration","mint"
"Universitätsklinikum Schleswig-Holstein","Department of Gynecological Endocrinology and Reproductive Medicine","med"
"University Hospital Leipzig","st Department of Medicine (Hematology and Medical Oncology)","med"
"Universitätsklinikum Schleswig-Holstein","Institute of Clinical and Experimental Pharmacology","med"
"Institut de Recherche pour le Développement","GEOMAR Helmholtz-Centre for Ocean Research Kiel","mint"
"Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung","MARUM—Center for Marine Environmental Sciences and Faculty of Geosciences","mint"
"Universitätsklinikum Hamburg-Eppendorf","Department of Tumor Biology","med"
"Universität Lübeck","Institute of Medical Informatics","med"
"Universitätsmedizin Greifswald","Center for Orthopedics, Trauma Surgery and Rehabilitation Medicine","med"
"West China Hospital of Sichuan University","Mental Health Centre","med"
"GEOMAR","Leibniz Institute of Marine Sciences at University of Kiel (IFM-GEOMAR) Kiel Germany","mint"
"Universität Bremen","MARUM – Centre for Marine Environmental","mint"
"Universitätsklinikum Hamburg-Eppendorf Zentrum für Molekulare Neurobiologie Hamburg","Research Group Neuronal Development (Dr. Froylan Calderon de Anda)","med"
"University Cancer Center Hamburg","st Department of Medicine (Hematology and Medical Oncology)","med"
"Marine Biodiversity Exploitation and Conservation","GEOMAR—Helmholtz Center for Ocean Research","mint"
"Max Planck Institute for Plasma Physics - Greifswald","Max-Planck-Institut für Plasmaphysik","mint"
"Universität Lübeck","Department of Gynecological Endocrinology and Reproductive Medicine","med"
"Universitätsklinikum Schleswig-Holstein","Department of Anaesthesiology and Operrative Intensive Care Medicine","med"
"Universitätsklinikum Hamburg-Eppendorf","Neuronal Patterning and Connectivity","med"
"Universitätsklinikum Hamburg-Eppendorf","AGO and","med"
"Universitätsklinikum Hamburg-Eppendorf","Endokrinologie und Diabetologie","med"
"Universitätsklinikum Hamburg-Eppendorf","Anesthesiology","med"
"Universitätsklinikum Hamburg-Eppendorf","Zentrum für Innere Medizin und Zentrum für Operative Medizin","med"
"Universitätsklinikum Hamburg-Eppendorf","Oncology","med"
"Universität Lübeck","Department of Nuclear Medicine","med"
"Universitätsklinikum Hamburg-Eppendorf","Institute for Applied Medical Informatics","med"
"Universitätsklinikum Schleswig-Holstein","Department of Anesthesiology and Intensive Care Medicine","med"
"Centre for Mental Health","Wuhan Mental Health Centre","med"
"Universität Lübeck","Department of Anaesthesiology and Operrative Intensive Care Medicine","med"
"Bernhard Nocht Institute for Tropical Medicine",NA,"med"
"Bernhard Nocht Institute for Tropical Medicine","BNITM)","med"
"Bernhard Nocht Institute for Tropical Medicine","Implementation Research","med"
"Universität Lübeck","Institut für Infektionsmedizin Christian‐Albrechts‐Universität zu Kiel und Universitätsklinikum Schleswig Holstein","med"
"Universitätsklinikum Schleswig-Holstein","Institute for Epidemiology","med"
"West China Hospital of Sichuan University","Mental Health Center","med"
"Universitätsklinikum Hamburg-Eppendorf","AGO &","med"
"Universitätsmedizin Greifswald","Friedrich Loeffler Institute of Medical Microbiology","med"
"Oregon State University","Leibniz‐Institute of Marine Sciences IFM‐GEOMAR Kiel Germany","mint"
"German Center for Infection Research","Bernhard Nocht Institute for Tropical Medicine (BNITM)","med"
"GEOMAR","Biotech, Marine Ecology, Natural Product Chemistry","mint"
"Carl von Ossietzky Universität Oldenburg","Research Group for Marine Geochemistry (MPI-ICBM Bridging","mint"
"Sorbonne Université","GEOMAR Helmholtz-Centre for Ocean Research Kiel","mint"
"Universitätsklinikum Hamburg-Eppendorf","University Children’s Research","med"
"A.M. Obukhov Institute of Atmospheric Physics","Leibniz Institute of Marine Sciences at University of Kiel (IFM-GEOMAR) Kiel Germany","mint"
"Universität Lübeck","University Medical Center Schleswig-Holstein","med"
"Universitätsklinikum Schleswig-Holstein","University Eye Hospital Lübeck","med"
"Universität Lübeck","Institute of Medical Microbiology and Center for Infectious Diseases","med"
"Universitätsmedizin Greifswald","Medical Informatics Institute for Community Health University Medicine Greifswald Greifswald Germany","med"
"GEOMAR","Helmholtz Centre for Ocean Research GEOMAR","mint"
"GEOMAR","RBS)Leibniz-Institute of Marine Sciences (IFM-GEOMAR)","mint"
"GEOMAR","Leibniz-Institute of Marine Science IFM-GEOMAR","mint"
"Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques","GEOMAR Helmholtz-Centre for Ocean Research Kiel","mint"
"Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques","Laboratoire d'Oceanographie et du Climat Experimentations et Approches Numeriques Mojib Latif GEOMAR: Helmholtz-Zentrum fur Ozeanforschung Kiel","mint"
"Universitätsklinikum Hamburg-Eppendorf","Centre for Biomolecular Interactions","med"
"Universitätsklinikum Schleswig-Holstein","University Clinic Schleswig‐Holstein – Campus Kiel","med"
"Universität Bremen","MARUM‐Center for Marine Environmental Sciences","mint"
"Universitätsklinikum Schleswig-Holstein","Institute for Immunology","med"
"Universitätsklinikum Hamburg-Eppendorf","University Hospital Eppendorf","med"
"Universitätsklinikum Hamburg-Eppendorf","Department of Urology","med"
"Universitätsklinikum Hamburg-Eppendorf","Department of Andrology","med"
"Universitätsklinikum Hamburg-Eppendorf","Department of Paediatrics","med"
"Universitätsklinikum Hamburg-Eppendorf","Centre for Internal Medicine, Institute for Infection Research and Vaccine Development (IIRVD); Prof. Dr. Marylyn M. Addo","med"
"Universitätsklinikum Schleswig-Holstein Campus Kiel Klinik für Gynäkologie und Geburtshilfe","Obstetrics and Gynaecology","med"
"GEOMAR","Laboratoire d'Oceanographie et du Climat Experimentations et Approches Numeriques Mojib Latif GEOMAR: Helmholtz-Zentrum fur Ozeanforschung Kiel","mint"
"Universität Lübeck","Universitatsklinikum Schleswig-Holstein","med"
"Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung","Alfred Wegener Institute for Polar and Marine Research Bremerhaven and Universität Bremen","mint"
"Universitätsklinikum Hamburg-Eppendorf","Laboratory for Research and Diagnostics","med"
"Universitätsklinikum Hamburg-Eppendorf Zentrum für Experimentelle Medizin","The Center for Experimental Medicine,","med"
"Universität Lübeck","Universitätsklinikum Schleswig-Holstein-Campus Lübeck","med"
"Universitätsklinikum Hamburg-Eppendorf","Institut für Humangenetik","med"
"Universitätsklinikum Hamburg-Eppendorf","Division of Nephrology and Hypertension","med"
"Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung","Alfred Wegener Institute for Polar and Marine Science","mint"
